# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.292203513585745 1.0 0.0 -0.0010747734599057576  -1.0129034811028027E-4 -1.0129034811028027E-4 -1.0129034811028027E-4 0.0 0.0 0.0 293.00000060159175 5.07489115571186E-4 7.119504898024144 2.1098447123866983E-4 1.0129034811028027E-4 1.9681100942346947 7.998182450682885E-6 7.292203513585745 293.00000060159175
7.292203513585745 1.0 0.0 -0.0010747734599057576  0.0 0.0 0.0 0.0 0.0 0.0 293.00000060159175 5.07489115571186E-4 7.119504898024144 2.1098447123866983E-4 1.0129034811028027E-4 1.9681100942346947 7.998182450682885E-6 7.292203513585745 293.00000060159175
7.298767152226652 0.9991007195456421 0.002401684975245881 -9.287554695828591E-4  -0.048404094010617106 -0.048404094010617106 -0.048404094010617106 0.0 0.0 0.0 293.5192071297947 5.073816004142436E-4 7.132672579828365 2.109734860147295E-4 0.048404094010617106 1.9676410668878008 7.973921572100761E-6 7.298767152226652 293.5192071297947
7.305330790868355 0.9982030550486476 0.004803424635402065 -7.826796331341588E-4  -0.096709809256938 -0.096709809256938 -0.096709809256938 0.0 0.0 0.0 294.03874193113205 5.072733051960976E-4 7.145811549219417 2.109625007907878E-4 0.096709809256938 1.9671730177115674 7.949803229246399E-6 7.305330790868355 294.03874193113205
7.311894429510849 0.997307002157248 0.007205212033178315 -6.365460012078725E-4  -0.14501843733171396 -0.14501843733171396 -0.14501843733171396 0.0 0.0 0.0 294.5586048167937 5.071642330610617E-4 7.158921902825785 2.1095151556684483E-4 0.14501843733171396 1.9667059440929087 7.92582617206054E-6 7.311894429510849 294.5586048167937
7.318458068154133 0.9964125565352854 0.009607040274973846 -4.903546243512558E-4  -0.19332997947956382 -0.19332997947956382 -0.19332997947956382 0.0 0.0 0.0 295.07879559840916 5.070543871373774E-4 7.172003736862494 2.1094053034290052E-4 0.19332997947956382 1.9662398434281194 7.901989165051835E-6 7.318458068154133 295.07879559840916
7.325021706798206 0.9955197138621442 0.012008902520427843 -3.4410555301090707E-4  -0.24164443694503948 -0.24164443694503948 -0.24164443694503948 0.0 0.0 0.0 295.5993140880456 5.069437705373133E-4 7.18505714713326 2.1092954511895486E-4 0.24164443694503948 1.9657747131228307 7.878290987085291E-6 7.325021706798206 295.5993140880456
7.331585345443064 0.9946284698326814 0.014410791981975455 -1.9779883753317932E-4  -0.2899618109725999 -0.2899618109725999 -0.2899618109725999 0.0 0.0 0.0 296.12016009820667 5.068323863572636E-4 7.1980822290326065 2.1091855989500792E-4 0.2899618109725999 1.9653105505919675 7.85473043117438E-6 7.331585345443064 296.12016009820667
7.338148984088708 0.993738820157156 0.016812701924413757 -5.1434528164158536E-5  -0.33828210280669657 -0.33828210280669657 -0.33828210280669657 0.0 0.0 0.0 296.64133344183193 5.067202376778457E-4 7.211079077548023 2.1090757467105966E-4 0.33828210280669657 1.9648473532597097 7.831306304276712E-6 7.338148984088708 296.64133344183193
7.344712622735131 0.9928507605611624 0.019214625664462345 9.498732494971968E-5  -0.38660531369166334 -0.38660531369166334 -0.38660531369166334 0.0 0.0 0.0 297.1628339322949 5.066073275639976E-4 7.22404778726205 2.1089658944711007E-4 0.38660531369166334 1.964385118559448 7.808017427093303E-6 7.344712622735131 297.1628339322949
7.351276261382335 0.9919642867855599 0.021616556570339018 2.4146667176171905E-4  -0.4349314448718213 -0.4349314448718213 -0.4349314448718213 0.0 0.0 0.0 297.6846613834028 5.06493659065073E-4 7.236988452354405 2.108856042231592E-4 0.4349314448718213 1.963923843933744 7.784862633871228E-6 7.351276261382335 297.6846613834028
7.357839900030317 0.9910793945864055 0.024018942901092362 3.893260596619547E-4  -0.48328766301947973 -0.48328766301947973 -0.48328766301947973 0.0 0.0 0.0 298.2068156093949 5.064108162822651E-4 7.255391245308269 2.3491764261046003E-4 0.48328766301947973 2.0482108703578765 9.013202539769581E-6 7.357839900030317 298.2068156093949
7.364403538679074 0.9901960797348865 0.026421747775718894 5.534640460088278E-4  -0.53195050033326 -0.53195050033326 -0.53195050033326 0.0 0.0 0.0 298.7515517258676 5.066175734060083E-4 7.26792372322161 2.3449625837603576E-4 0.53195050033326 2.045350949861301 8.960986345121277E-6 7.364403538679074 298.7515517258676
