#solidus
#68 #points
#d T p e a ??
0 0 0 0 0 0
7.29e-06 1.66086e-07 -9.82203e-10 2.48108 2.48108 0
1.458e-05 4.18514e-07 -3.19118e-09 2.48096 2.48096 0
3.645e-05 1.42005e-06 -1.51512e-08 2.48068 2.48068 0
7.29e-05 3.57838e-06 -4.92262e-08 2.48031 2.48031 0
0.0001458 9.01742e-06 -1.59936e-07 2.4797 2.4797 0
0.0003645 3.06009e-05 -7.59346e-07 2.47829 2.47829 0
0.000729 7.71287e-05 -2.4671e-06 2.47644 2.47644 0
0.001458 0.000194449 -8.01555e-06 2.47342 2.47342 0
0.003645 0.000660761 -3.8056e-05 2.46635 2.46635 0
0.00729 0.00166918 -0.000123642 2.45704 2.45704 0
0.010935 0.00287327 -0.000246329 2.44909 2.44908 0
0.018225 0.00570615 -0.000587017 2.43525 2.43525 0
0.02916 0.0107586 -0.0013051 2.41733 2.41732 0
0.04374 0.0186583 -0.0026001 2.39635 2.39632 0
0.0729 0.037611 -0.00619605 2.35984 2.3598 0
0.10935 0.0662032 -0.0123439 2.32 2.31993 0
0.18225 0.137446 -0.0294143 2.25068 2.25054 0
0.2916 0.27684 -0.0653892 2.16087 2.16061 0
0.4374 0.523773 -0.130247 2.05576 2.05528 0
0.729 1.25208 -0.310156 1.87302 1.87193 0
0.91125 1.89438 -0.452874 1.77035 1.76876 0
1.0935 2.70926 -0.616707 1.67382 1.67161 0
1.458 4.97289 -1.00191 1.49458 1.49073 0
1.8225 8.31263 -1.4547 1.32939 1.32326 0
2.187 13.0609 -1.96336 1.17534 1.16613 0
2.916 28.4514 -3.08833 0.895346 0.876719 0
3.645 55.1867 -4.22268 0.649717 0.616311 0
4.374 98.378 -5.14211 0.439372 0.383236 0
5.103 163.916 -5.64056 0.262519 0.174504 0
5.832 257.854 -5.03825 0.142135 -0.0134311 0
6.561 385.46 -3.15466 0.0672898 -0.17403 0
6.9255 463.023 -1.25228 0.0627607 -0.241953 0
7.29 550 0.911754 0.060175 -0.299037 0
7.6545 646.336 3.74785 0.0793452 -0.348112 0
8.019 752.025 7.40535 0.12803 -0.389009 0
8.748 991.341 16.6711 0.286589 -0.435741 0
10.206 1578.4 41.107 0.767705 -0.424311 0
11.664 2299.49 78.221 1.5945 -0.282819 0
13.122 3138.72 120.44 2.53304 -0.0203563 0
14.58 4079.31 171.147 3.78636 0.269639 0
18.225 6773.54 329.425 7.02022 0.829222 0
21.87 9803.32 574.232 11.4162 1.99598 0
25.515 13030.2 913.451 16.6672 3.71421 0
29.16 16364.5 1363.18 22.3428 5.58136 0
36.45 23145.3 2608.66 36.603 11.9234 0
43.74 29892.3 4384.33 52.7075 19.5156 0
51.03 36503.2 6721.98 71.4794 29.7617 0
58.32 42940.6 9679.04 92.4758 42.0596 0
65.61 49195 13243.1 115.011 56.2241 0
72.9 55269.8 17467.5 139.532 72.5771 0
109.35 83292.1 49112.7 279.521 172.653 0
145.8 108283 99203.2 443.955 301.773 0
182.25 131117 168990 625.039 448.793 0
218.7 152341 258985 819.689 611.542 0
291.6 191257 500156 1233.58 968.478 0
437.4 259759 1.23328e+06 2145.47 1779.51 0
583.2 320377 2.30118e+06 3113.19 2657.68 0
729 375796 3.70208e+06 4119.91 3580.14 0
1093.5 499575 8.6281e+06 6718.07 5993.59 0
1822.5 710411 2.43459e+07 12050.3 11003.7 0
2916 978161 6.16379e+07 20033.3 18591.8 0
4374 1.28639e+06 1.35096e+08 30472.1 28570.6 0
7290 1.81354e+06 3.56085e+08 50520 47840.9 0
14580 2.88507e+06 1.28836e+09 96859.3 92581.1 0
36450 5.32129e+06 6.76599e+09 217402 209414 0
72900 8.45073e+06 2.31484e+10 387991 375269 0
145800 1.34177e+07 7.79379e+10 677267 656712 0


#liquidus
#68 #points
#d T p e a ??
0 0 0 0 0 0
7.29e-06 1.99304e-07 -9.82203e-10 2.48108 2.48108 0
1.458e-05 5.02216e-07 -3.19118e-09 2.48096 2.48096 0
3.645e-05 1.70406e-06 -1.51512e-08 2.48068 2.48068 0
7.29e-05 4.29406e-06 -4.92262e-08 2.48031 2.48031 0
0.0001458 1.08209e-05 -1.59936e-07 2.4797 2.4797 0
0.0003645 3.67211e-05 -7.59346e-07 2.47829 2.47829 0
0.000729 9.25544e-05 -2.4671e-06 2.47644 2.47643 0
0.001458 0.000233339 -8.01555e-06 2.47342 2.47342 0
0.003645 0.000792913 -3.8056e-05 2.46635 2.46635 0
0.00729 0.00200301 -0.000123642 2.45704 2.45704 0
0.010935 0.00344792 -0.000246329 2.44909 2.44908 0
0.018225 0.00684738 -0.000587015 2.43525 2.43525 0
0.02916 0.0129103 -0.0013051 2.41733 2.41731 0
0.04374 0.02239 -0.00260008 2.39635 2.39632 0
0.0729 0.0451332 -0.00619601 2.35984 2.3598 0
0.10935 0.0794439 -0.0123437 2.32 2.31991 0
0.18225 0.164935 -0.0294138 2.25069 2.25052 0
0.2916 0.332208 -0.0653874 2.16088 2.16056 0
0.4374 0.628528 -0.130241 2.05578 2.05519 0
0.729 1.50249 -0.31013 1.87305 1.87174 0
0.91125 2.27326 -0.452821 1.77041 1.76849 0
1.0935 3.25111 -0.616608 1.6739 1.67125 0
1.458 5.96747 -1.00162 1.49473 1.49011 0
1.8225 9.97515 -1.45402 1.32967 1.32231 0
2.187 15.6731 -1.96187 1.1758 1.16471 0
2.916 34.1417 -3.08255 0.896476 0.873978 0
3.645 66.224 -4.20608 0.652053 0.611357 0
4.374 118.054 -5.10377 0.443636 0.374102 0
5.103 196.699 -5.54369 0.271079 0.155108 0
5.832 309.425 -4.86129 0.155577 -0.0444634 0
6.561 462.552 -2.80878 0.0897871 -0.225059 0
6.9255 555.628 -0.813728 0.0898931 -0.303044 0
7.29 660 1.31603 0.0869679 -0.37369 0
7.6545 775.603 4.32575 0.114588 -0.440845 0
8.019 902.43 8.18199 0.17188 -0.498259 0
8.748 1189.61 17.6839 0.341559 -0.577912 0
10.206 1894.08 42.7951 0.856986 -0.677556 0
11.664 2759.39 81.0536 1.72933 -0.655681 0
13.122 3766.46 124.327 2.72413 -0.561232 0
14.58 4895.17 177.581 4.05799 -0.45637 0
18.225 8128.25 344.243 7.56789 -0.451974 0
21.87 11764 599.249 12.2801 0.0591481 0
25.515 15636.3 949.374 17.8353 1.01285 0
29.16 19637.3 1405.57 23.7437 2.07981 0
36.45 27774.4 2709.14 39.2406 6.71839 0
43.74 35870.7 4527.58 56.2108 12.5776 0
51.03 43803.9 6921.19 75.8369 21.0033 0
58.32 51528.7 9901.18 97.2196 31.5275 0
65.61 59034 13582.8 121.249 43.9721 0
72.9 66323.7 17802.7 145.533 58.6115 0
109.35 99950.5 49894.1 289.645 150.405 0
145.8 129939 100565 457.435 271.775 0
182.25 157341 171238 643.607 412.279 0
218.7 182809 261941 840.291 568.494 0
