#rho T p e s c^2 cv gamma alpha
0.0 0.0 0.0 -0.06536388158977131 NaN NaN 1.050581912105578E-4 NaN NaN
7.287289999999999E-6 0.0 -8.318191336947891E-11 2.332171393052009 NaN -3.871486102168039E-5 1.0657060642044929E-4 0.6577702382646218 -248466.53242493788
1.457458E-5 0.0 -3.10593745967811E-10 2.332160250332257 NaN -8.085837322683159E-5 1.0640946248577158E-4 0.6588156248011149 -59487.14032509082
3.643645E-5 0.0 -1.77137297065063E-9 2.332129889780312 NaN -1.649275892576292E-4 1.0624456583261684E-4 0.659927178373998 -11667.380803850167
7.28729E-5 0.0 -6.611771663887337E-9 2.332083078883617 NaN -3.0776839690884475E-4 1.0613476025937826E-4 0.6607043928914588 -3126.617558258451
1.457458E-4 0.0 -2.467132069186026E-8 2.331995700667687 NaN -6.427264128668903E-4 1.0603564716968721E-4 0.6614505177614506 -748.7331400245902
3.643645E-4 0.0 -1.407050467602485E-7 2.331754538411761 NaN -0.0013110048304183157 1.0592951982252676E-4 0.6623601504464698 -146.88276888157077
7.28729E-4 0.0 -5.25191250352507E-7 2.331382706544236 NaN -0.002446356055658811 1.0586820562499141E-4 0.6630174723419457 -39.373571089651556
0.001457458 0.0 -1.959710877131871E-6 2.330688637312479 NaN -0.00510827230100315 1.0582353891160633E-4 0.6636818688899127 -9.433484630185553
0.003643645 0.0 -1.117641250791689E-5 2.32877296804305 NaN -0.010422647405532118 1.0580061270403659E-4 0.6645900263545131 -1.851517832079566
0.00728729 0.0 -4.172510733066157E-5 2.325820020353203 NaN -0.017101003957630947 1.0581742161690401E-4 0.6653638103378938 -0.5649742970457146
0.010930935 0.0 -9.015390669572049E-5 2.323017607924291 NaN -0.025773520972064787 1.0584298956301692E-4 0.665899165944977 -0.2501724632863655
0.018218225 0.0 -2.379507541566642E-4 2.317667288501423 NaN -0.04011090543368593 1.05897616386876E-4 0.6667053266438868 -0.09661656273462957
0.02914916 0.0 -5.812146330783252E-4 2.310024379207082 NaN -0.05959246633970629 1.0597591785830119E-4 0.6676609761320447 -0.040732941719199584
0.04372374 0.0 -0.00125572263651203 2.300264906974015 NaN -0.08983320683248931 1.0607119376540333E-4 0.6687694213038876 -0.018060079490021634
0.0728729 0.0 -0.003314425888493127 2.281635499279539 NaN -0.1360724951214328 1.062423995430838E-4 0.6708104624411158 -0.007187225933859431
