# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.285186663379472 1.0 0.0 -0.0010269730616518807  0.011918299669336024 0.011918299669336024 0.011918299669336024 0.0 0.0 0.0 292.9999993911481 4.3232923387623637E-4 7.227117191883587 2.1154546494066257E-4 -0.011918299669336024 2.4271548267855625 9.752038767716958E-6 7.285186663379472 292.9999993911481
7.285186663379472 1.0 0.0 -0.0010269730616518807  0.0 0.0 0.0 0.0 0.0 0.0 292.9999993911481 4.3232923387623637E-4 7.227117191883587 2.1154546494066257E-4 -0.011918299669336024 2.4271548267855625 9.752038767716958E-6 7.285186663379472 292.9999993911481
7.291743986224465 0.9991007195456421 0.0024200501630666648 -0.0010233943578141155  -0.03789482377851633 -0.03789482377851633 -0.03789482377851633 0.0 0.0 0.0 293.6403933366009 4.3230663856050095E-4 7.24386231741929 2.1153112816249414E-4 0.03789482377851633 2.426234320786013 9.716400958361231E-6 7.291743986224465 293.6403933366009
7.298301309070253 0.9982030550486477 0.004840717836727863 -0.0010197115695436457  -0.08771228342005889 -0.08771228342005889 -0.08771228342005889 0.0 0.0 0.0 294.2813661808719 4.3228246463478185E-4 7.260566696979693 2.1151679138432404E-4 0.08771228342005889 2.4253156398353113 9.681013120156196E-6 7.298301309070253 294.2813661808719
7.304858631916832 0.997307002157248 0.0072619919221262545 -0.0010159247969332521  -0.137534080864377 -0.137534080864377 -0.137534080864377 0.0 0.0 0.0 294.92291756843696 4.322567194896448E-4 7.277230476749779 2.115024546061522E-4 0.137534080864377 2.424398779053342 9.64587263865874E-6 7.304858631916832 294.92291756843696
7.3114159547642 0.9964125565352855 0.009696704365015562 -9.97238637940789E-4  -0.1878302659725746 -0.1878302659725746 -0.1878302659725746 0.0 0.0 0.0 295.56504714438285 4.322309170470187E-4 7.449299706223207 2.1148801013352406E-4 0.1878302659725746 2.423469083936638 9.410361239616577E-6 7.3114159547642 295.56504714438285
7.317973277612357 0.9955197138621442 0.012144833916761442 -9.611938676971371E-4  -0.23867895330707942 -0.23867895330707942 -0.23867895330707942 0.0 0.0 0.0 296.2077464607666 4.3220530914039515E-4 7.466213243868603 2.1147344005129496E-4 0.23867895330707942 2.422524153049322 9.37632682276921E-6 7.317973277612357 296.2077464607666
7.324530600461298 0.9946284698326814 0.014593539406426267 -9.250474988292165E-4  -0.28953188309144645 -0.28953188309144645 -0.28953188309144645 0.0 0.0 0.0 296.85101480979483 4.321781454369625E-4 7.483085284087714 2.114588699690642E-4 0.28953188309144645 2.421581082955838 9.342528464637415E-6 7.324530600461298 296.85101480979483
7.331087923311023 0.9937388201571561 0.01704280990782547 -8.887996361605479E-4  -0.3403890567067353 -0.3403890567067353 -0.3403890567067353 0.0 0.0 0.0 297.4948518133494 4.321494332186823E-4 7.499915975831899 2.1144429988683165E-4 0.3403890567067353 2.4206398686978865 9.308963724245488E-6 7.331087923311023 297.4948518133494
7.337645246161529 0.9928507605611624 0.019492634581663608 -8.524503843554062E-4  -0.39125047553390646 -0.39125047553390646 -0.39125047553390646 0.0 0.0 0.0 298.1392570939605 4.3211917972505213E-4 7.51670546738908 2.1142972980459735E-4 0.39125047553390646 2.4197005053348963 9.275630194142915E-6 7.337645246161529 298.1392570939605
