#rho T p e s c^2 cv gamma alpha
0.0 293.0 0.0 2.3701504776374325 0.0018947458107300495 NaN 1.3301294431681597E-4 NaN NaN
7.287289999999999E-6 293.0 1.5321735194821274E-7 2.3701504776374325 0.0018947458107300495 0.03249955659084136 1.3301294431681597E-4 0.5506486104734521 309.2608648864859
1.457458E-5 293.0 3.056821237463799E-7 2.3697470438620103 0.0018467383549718344 0.032569600900216066 1.304514730845185E-4 0.5592881078890412 153.70078563172402
3.643645E-5 293.0 7.612679396703616E-7 2.369206302203045 0.001778893954955867 0.032665016464615795 1.2711744847639951E-4 0.5710498824777813 60.99023054735366
7.28729E-5 293.0 1.516743211349649E-6 2.3688100675705894 0.0017276531787958115 0.03264738296811891 1.248263908367358E-4 0.5793926413569589 30.399396530212247
1.457458E-4 293.0 3.0170628301629725E-6 2.3684084680389885 0.0016768923506531828 0.03242931981184929 1.2275858265587235E-4 0.5870862665909565 15.248246311618505
3.643645E-4 293.0 7.449804339767622E-6 2.3678021176492936 0.0016100194572584937 0.031926901607905234 1.2034004878040245E-4 0.5963379875977122 6.168929792941957
7.28729E-4 293.0 1.464023255270748E-5 2.3671910869086905 0.0015594270664866913 0.030922227858999396 1.187367697978363E-4 0.6026767854010119 3.175651703702432
0.001457458 293.0 2.835082844577926E-5 2.3662932591326227 0.0015092770724501748 0.028411748455339465 1.1734657867317115E-4 0.6083440349483314 1.7239540123137562
0.003643645 293.0 6.459363750986254E-5 2.3641597717632896 0.0014431394662866488 0.02334921167557528 1.1581384301844184E-4 0.6149643816629718 0.8371478302246125
0.00728729 293.0 1.0994708953489928E-4 2.3610784419105117 0.0013928784213286818 0.01692400895945211 1.148761219966203E-4 0.619445394834582 0.5769836350326634
0.010930935 293.0 1.3755906101603274E-4 2.358217761120512 0.0013636157000999933 0.008460237975978628 1.144254294705286E-4 0.6218582423810485 0.7694387513900366
0.018218225 293.0 1.4218311134465704E-4 2.352812918802855 0.001326930294802502 -0.005534751433621438 1.1396642163345696E-4 0.6247095093665798 -0.7060750188876912
0.02914916 293.0 2.8389218145583583E-5 2.3451350512197258 0.0012931021392359465 -0.024594416678703383 1.1365033885422285E-4 0.6273651550393062 -0.09945544337432814
0.04372374 293.0 -3.389692784131874E-4 2.3353600016584157 0.0012639459847054208 -0.054292507943640426 1.1346830454846078E-4 0.6296530768152058 -0.03009668680109675
0.0728729 293.0 -0.0017792615798645046 2.3167270517619376 0.0012271606270397274 -0.09960294475472392 1.1337080522292513E-4 0.632871417227188 -0.009885041155359717
0.10930935 293.0 -0.004845417397439397 2.2944764214082083 0.0011978396568516566 -0.16749995652270697 1.1341108656003902E-4 0.6360481962412143 -0.0039397941065393354
0.18218225 293.0 -0.014997012315338218 2.2520172909260276 0.001160719347332052 -0.27957898105648543 1.1364359423598968E-4 0.641764965477053 -0.0014318924083386237
0.2914916 293.0 -0.03978287475379777 2.19137103845076 0.0011260546434431436 -0.4318814652173099 1.1409507617680992E-4 0.6506693277582172 -5.897074674141817E-4
0.4372373999999999 293.0 -0.08978503622089527 2.1139878094782754 0.0010954884622637183 -0.6063093634968932 1.1476506316848599E-4 0.6644251809122735 -2.8763663869331316E-4
0.5829832 293.0 -0.15826693313981302 2.039285293114904 0.0010731709816327044 -0.7760479044516099 1.1549229565620468E-4 0.6809239923648337 -1.7382293571746333E-4
0.728729 293.0 -0.24443071781921152 1.9665832052411405 0.0010553510004139702 -0.9564034004066787 1.162807190568587E-4 0.700481617632111 -1.1686845083011073E-4
0.91091125 293.0 -0.3758656350587063 1.8779518610777228 0.0010367678955658824 -1.1599156674923674 1.1737139658516014E-4 0.7298403041340373 -8.107512643325966E-5
1.0930935 293.0 -0.5323173032917619 1.7914150328065692 0.0010207332335424905 -1.3620483390355258 1.1867601946958824E-4 0.7669904780886811 -6.113685736063812E-5
1.27527575 293.0 -0.7124112838149125 1.7066938254940978 0.0010062545221737607 -1.567217423764869 1.2041512132350401E-4 0.8160205931789488 -4.916417926880808E-5
1.457458 293.0 -0.9148815834004538 1.623595331396572 9.927070941386095E-4 -1.8196107048965589 1.2207932504815499E-4 0.8674590088246616 -3.993158505938499E-5
1.8218225 293.0 -1.3794775602026121 1.4621033179878202 9.677858389508819E-4 -2.1749491781556367 1.2434978859702736E-4 0.956268240955214 -3.0010249703432687E-5
2.186187 293.0 -1.9081217140402733 1.306886058062124 9.446774159108211E-4 -2.5122563955616615 1.275901087205047E-4 1.074270560885522 -2.4956254973716494E-5
2.5505515 293.0 -2.481858928817586 1.1580066857843947 9.220191684479608E-4 -2.8190288155893004 1.3180102892967763E-4 1.2188487265987287 -2.2342666155288867E-5
2.914916 293.0 -3.0768685829829447 1.015711290024043 8.98686944608691E-4 -3.0970106754228035 1.3645163241911873E-4 1.4019080000542832 -2.1189929084154263E-5
3.2792805 293.0 -3.6661234940281027 0.880481171482495 8.743763300116006E-4 -3.300544717127972 1.417385968099493E-4 1.585419391514076 -2.0761948390813802E-5
3.643645 293.0 -4.222908899710133 0.7528902993370572 8.488894578349095E-4 -3.4164155862645282 1.478062570654026E-4 1.7893618375898637 -2.1246345450174745E-5
4.0080095 293.0 -4.712098253715624 0.6335661254750274 8.220215617799004E-4 -3.390344851307404 1.546473392978283E-4 1.986265787409796 -2.2605139799846837E-5
4.372374 293.0 -5.096557783174476 0.523190899505752 7.936744094592343E-4 -3.1979736024040597 1.622430862433173E-4 2.1788368096331743 -2.528126058031648E-5
4.7367385 293.0 -5.33640519412738 0.42248866801081425 7.638434600873266E-4 -2.8008609937712197 1.7055184365054996E-4 2.358908464754115 -3.0324702049977394E-5
5.101102999999999 293.0 -5.388624787862725 0.3322163348337122 7.326150358985186E-4 -2.16367939066723 1.795065230170315E-4 2.5192130319691475 -4.09720909370902E-5
5.4654675 293.0 -5.207343190776656 0.2531566086437093 7.001639885439451E-4 -1.2554144530970075 1.8902034122994773E-4 2.6531960462348088 -7.30909226129635E-5
5.829832 293.0 -4.743698159261696 0.18611577012585162 6.667444082750814E-4 -0.45645851549908856 1.995476837568871E-4 2.7616363440194474 -2.0708842607242085E-4
6.012014249999999 293.0 -4.417470259844628 0.15650313400466717 6.470487016071002E-4 -2.044150160926915 3.6543400658612193E-4 3.8286699149917105 -1.1384765471382193E-4
