# cl: 6.146 km/s
# cs: 2.685 km/s
#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg
cbulk  040  6.079e+00 0.000e+00  5.307 0.000  0.000 1.009 0.000 6.079 0.0 0.0
v      0,1  6.100e+00 2.785e+00  5.711 0.556  6.393 1.000 1.000 6.758 19.369 0.155
v      0,1  6.100e+00 2.785e+00  5.659 0.559  6.393 1.000 1.000 6.769 19.297 0.156
v      0,1  6.100e+00 2.785e+00  6.085 0.777  6.806 1.000 1.000 6.993 28.841 0.302
v      0,1  6.100e+00 2.785e+00  6.001 0.787  6.810 1.000 1.000 7.021 28.809 0.31
v      0,1  6.100e+00 2.785e+00  6.002 0.789  6.814 1.000 1.000 7.023 28.887 0.311
v      0,1  6.100e+00 2.785e+00  5.982 0.790  6.813 1.000 1.000 7.028 28.827 0.312
v      0,1  6.100e+00 2.785e+00  6.002 0.787  6.810 1.000 1.000 7.021 28.814 0.31
v      0,1  6.100e+00 2.785e+00  6.413 1.089  7.349 1.000 1.000 7.348 42.601 0.593
v      0,1  6.100e+00 2.785e+00  6.421 1.086  7.347 1.000 1.000 7.342 42.537 0.59
v      0,1  6.100e+00 2.785e+00  6.383 1.092  7.350 1.000 1.000 7.359 42.518 0.596
v      011  6.100e+00 8.450e+00  7.203 1.837  6.183 1.000 1.000 8.188 80.715 1.687
v      011  6.100e+00 8.450e+00  7.192 1.839  6.184 1.000 1.000 8.196 80.679 1.691
v      011  6.100e+00 8.450e+00  7.232 1.836  6.185 1.000 1.000 8.176 80.996 1.685
v      011  6.100e+00 8.450e+00  7.252 1.834  6.185 1.000 1.000 8.165 81.131 1.682
v      011  6.100e+00 8.450e+00  8.098 2.561  7.122 1.000 1.000 8.921 126.508 3.279
v      011  6.100e+00 8.450e+00  8.070 2.464  7.009 1.000 1.000 8.781 121.295 3.036
